Date,Title,Image,Video URL
1 December 2022,Sheet Pan Shrimp Scampi,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/1.jpg,
2 December 2022,30-Minute Garlic Chicken With Potatoes,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/2.jpg,
3 December 2022,Simple Rotisserie Chicken Tortilla Soup,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/3.jpg,
4 December 2022,Quick & Easy Meatballs & Gravy,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/4.jpg,
5 December 2022,Stuffed Pork Chops,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/5.jpg,
6 December 2022,Ginger Peanut Chicken Pasta,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/6.jpg,
7 December 2022,Ground Beef Gyros,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/7.jpg,
8 December 2022,Pressure Cooker Chicken Piccata,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/8.jpg,
9 December 2022,Ikea Swedish Meatballs,https://images.pexels.com/photos/5836992/pexels-photo-5836992.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,
10 December 2022,Salisbury Steak with Mushroom & Onion Gravy,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/10.jpg,
11 December 2022,Pepperoni Bread,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/11.jpg,
12 December 2022,Lemon Chicken Milanese,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/12.jpg,
13 December 2022,Szechuan Noodles With Spicy Beef Sauce,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/13.jpg,
14 December 2022,Chinese Fried Rice,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/14.jpg,
15 December 2022,"Quick Weeknight Pizza With Ricotta, Broccolini & Sausage",https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/15.jpg,
16 December 2022,Sheet Pan Salmon Dinner,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/16.jpg,
17 December 2022,"Baked Shrimp & Orzo With Chickpeas, Lemon & Dill",https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/17.jpg,
18 December 2022,Souper Easy Chicken Pot Pie,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/18.jpg,
19 December 2022,"Slow-Cooker Chicken, Tomato & White Bean Soup",https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/19.jpg,
20 December 2022,Grandma's Sloppy Joes,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/20.jpg,
21 December 2022,Simple Pasta Toss,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/21.jpg,
22 December 2022,Boneless Chicken Breasts With Stuffing Mix,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/22.jpg,
23 December 2022,Reduced-Fat Alfredo Sauce,https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg?auto=compress&cs=tinysrgb&w=600,
24 December 2022,Sheet Pan Buffalo Cauliflower With Roasted Chickpeas & Kale,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/24.jpg,
25 December 2022,Baked Pollock,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/25.jpg,
26 December 2022,Creamy Chicken Enchiladas,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/26.jpg,
27 December 2022,Cauliflower Rice Burrito Bowl,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/27.jpg,
28 December 2022,Spicy Meatball Skillet,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/28.jpg,
29 December 2022,Ravioli Lasagna With Ricotta,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/29.jpg,
30 December 2022,Honey Mustard Pork Chops With Capers & Mustard Greens,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/30.jpg,
31 December 2022,Braised Beef Ribs,https://shotstack-assets.s3-ap-southeast-2.amazonaws.com/integromat/recipe/31.jpg,
